Experimental_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,T=0.25,T=0.5,T=1.0,Release,LA_GA_Ratio,Normalized_MW,Drug_Polymer_MW_Ratio
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,28.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.469468672771405,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,32.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.484208657502852,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,35.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.501819284290937,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,39.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.513530129556949,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,42.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.525609638103223,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,47.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.536159344663987,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,49.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.539403065061746,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,53.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.545626681035099,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,56.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.556119106781208,0.0,10.373522431293592,0.02668493749999999
137,PTX-PVL-co-PAVL,0.0,32000,0.15,216.5,10.36,0.8333333333333334,0.1657971014492753,2.888888888888889,0.5,853.9179999999998,221.29,15,3.735700000000002,60.0,0.05443157008395988,0.09344682124483904,0.134339984229864,0.568557823440374,0.0,10.373522431293592,0.02668493749999999
